open,high,low,close,volume,trades
1.32945,1.32971,1.32556,1.32809,243610.2665464302,1028
1.32743,1.3319,1.32489,1.33097,95426.9586585499,517
1.33163,1.33804,1.315,1.32987,552175.7934774498,1973
1.33076,1.34084,1.3125,1.33988,321994.0974481091,1728
1.33909,1.39,1.32684,1.33446,325334.7137439098,831
1.3333,1.34831,1.33233,1.34384,220979.0813215099,699
1.34297,1.35129,1.25,1.33954,381558.6104509302,1170
1.34,1.3425,1.252,1.34182,126821.6993677099,355
1.34102,1.34348,1.3378,1.339,205956.2821350198,495
1.33978,1.342,1.32159,1.3331,444919.5523627998,918
1.3331,1.33466,1.3212,1.33208,348170.62016429,866
1.33191,1.34562,1.32928,1.33479,470280.9313068704,1092
1.33479,1.33643,1.32282,1.32729,151703.0041115098,415
1.32719,1.3339,1.255,1.32124,398065.3950933996,905
1.32124,1.32192,1.3173,1.31929,88976.7896179,445
1.31982,1.3348,1.31701,1.3314,288176.68579748,760
1.33063,1.35,1.3278,1.33053,267504.6949986201,501
1.33094,1.34454,1.32672,1.34257,186663.5890277398,422
1.34232,1.35498,1.34086,1.34815,736848.3303503421,1691
1.34815,1.36081,1.34798,1.35557,858798.3554382154,2726
1.35554,1.35597,1.34314,1.34795,255631.8568052101,671
1.34748,1.35166,1.34671,1.34866,238415.6345629393,487
1.34852,1.35036,1.33717,1.33717,334098.3845107101,1072
1.33806,1.34575,1.31501,1.34176,861056.030193927,2730
1.34106,1.34235,1.32823,1.33678,713379.3588495101,2687
1.33678,1.355,1.262,1.34744,896901.9348301751,3190
1.34801,1.36,1.28019,1.35218,474477.4923019388,1485
1.3526,1.36143,1.3496,1.35364,965454.124070154,4223
1.35363,1.35621,1.35093,1.3545,469915.0479523207,1790
1.35484,1.3625,1.34808,1.35575,818469.0855455083,3383
1.35622,1.35707,1.34035,1.34356,669278.7610538222,3554
1.34339,1.34957,1.34258,1.34952,499211.0011392187,2542
1.34919,1.36085,1.3485,1.35943,461613.2437093695,1806
1.35953,1.36673,1.2911,1.36248,405671.3317589998,1030
1.3639,1.36748,1.3586,1.36494,727804.5103610398,2598
1.36494,1.36997,1.35716,1.36278,2946264.798548978,9814
1.36278,1.36757,1.3235,1.36581,4145377.6379219713,17449
1.3667,1.36899,1.31,1.3537,2195365.5908551863,9556
1.35445,1.36322,1.35,1.36151,1395609.2620671706,4348
1.362,1.36421,1.3267,1.35959,2045236.2103301024,6912
1.35948,1.36134,1.3297,1.35665,4893835.6077958215,11678
1.35617,1.36333,1.311,1.35382,2908691.5321299336,7417
1.35392,1.37829,1.34735,1.36143,2603496.1993606533,4765
1.35979,1.414,1.34637,1.34737,2127530.163417748,6608
1.34871,1.45,1.33748,1.34979,2708052.505596906,10050
1.34979,1.36659,1.3045,1.36327,602623.4739423897,2869
1.36562,1.37329,1.317,1.36275,871879.5615419416,2509
1.36265,1.36852,1.33,1.36395,1107152.1549175463,2612
1.36544,1.36749,1.34989,1.35519,979209.9725749048,4120
1.35519,1.36108,1.3405,1.35656,1027917.958751088,5379
1.35721,1.36524,1.35145,1.35696,746563.0574253473,2411
1.35621,1.3607,1.35024,1.35537,576870.3204761073,1985
1.35508,1.36552,1.35475,1.36371,872006.2468666099,2764
1.36332,1.415,1.36053,1.36715,941105.3445809124,3885
1.36796,1.41,1.36539,1.36984,870637.8602429267,4090
1.37005,1.37086,1.36,1.36403,797392.077476569,2973
1.36417,1.3665,1.363,1.36446,276810.3748635199,1141
1.36529,1.36768,1.36312,1.36737,508926.9828807096,1572
1.36718,1.375,1.36,1.36485,1293550.2811861597,5045
1.36453,1.5,1.358,1.37281,1133195.1913071396,4488
1.373,1.37319,1.36213,1.36648,961643.2228853876,3823
1.36649,1.37437,1.3585,1.37017,957052.0415640308,3688
1.37017,1.45,1.35831,1.36802,1349097.151426033,3701
1.36803,1.37272,1.347,1.36857,1671584.6060993485,5327
1.36922,1.409,1.36492,1.36667,730278.739382157,3051
1.36685,1.45,1.36509,1.36885,2366208.96392152,8546
1.3693,1.37238,1.36,1.36547,2282191.8504282394,11218
1.36547,1.37109,1.359,1.36648,2275807.7292695427,11827
1.36703,1.4,1.35366,1.36441,1654640.1458721769,7916
1.36448,1.37431,1.35865,1.37099,1718404.8430777558,7185
1.37102,1.37376,1.36829,1.36995,1370353.2541610682,8382
1.37023,1.37224,1.362,1.37168,2353364.698169494,14507
1.37161,1.3986,1.362,1.37113,1667413.5938675716,7131
1.37101,1.38,1.37095,1.37852,1638947.4560637062,6041
1.37859,1.3855,1.37225,1.37913,2022680.882971231,7490
1.37935,1.39,1.3741,1.37528,2289540.023505331,7427
1.37703,1.3915,1.37059,1.38066,1918577.1453827024,7023
1.38083,1.39,1.369,1.37797,2494101.853138278,17105
1.37797,1.38275,1.37566,1.38273,2325784.844871795,16436
1.38271,1.38999,1.372,1.38685,2621574.996091577,11136
1.38707,1.39423,1.3799,1.38491,2359349.5040907757,12433
1.38475,1.38895,1.378,1.38327,1808678.2361296576,6693
1.38337,1.43198,1.38162,1.39449,1755125.2428907636,5956
1.39449,1.428,1.3916,1.39903,1982700.7662190928,7771
1.39903,1.40555,1.382,1.39758,4715316.104750287,21253
1.39758,1.39997,1.39486,1.39917,2227457.617784225,15824
1.39854,1.4689,1.3912,1.40378,4549845.597846812,18827
1.40368,1.43299,1.3896,1.41145,4733545.043865026,17017
1.4099,1.42,1.402,1.4175,3687039.6869347855,9232
1.41007,1.41641,1.396,1.39853,1721195.008121267,4047
1.39806,1.39862,1.3801,1.38972,1980772.026640904,7138
1.38972,1.39535,1.385,1.38715,1148560.769323567,4267
1.3868,1.4,1.38546,1.39474,1681349.344230693,5474
1.39474,1.43398,1.385,1.38924,1588925.9993719985,3952
1.3902,1.3943,1.382,1.39229,1946204.2233965972,4717
1.39228,1.405,1.3801,1.38919,2434358.283554477,4693
1.38962,1.405,1.38429,1.38521,1898223.6648882164,4177
1.38584,1.4305,1.375,1.38277,1473388.441253428,2948
1.38253,1.38351,1.3762,1.38268,590733.7016550719,1969
1.38224,1.385,1.379,1.38302,710004.8063733017,2071
1.38299,1.385,1.37637,1.38059,1200994.0334513246,2841
1.38066,1.38969,1.37711,1.38628,3019893.139835629,4747
1.38616,1.39442,1.3803,1.38968,1866282.1490372329,4047
1.38928,1.4,1.3886,1.39497,1174862.692565251,2981
1.39496,1.39681,1.38241,1.38991,3590672.7993379296,6775
1.3899,1.40106,1.38591,1.39136,9795659.940930093,13762
1.39169,1.39225,1.38599,1.38811,9569729.45214293,9564
1.38811,1.39227,1.38272,1.38627,2780843.068854646,6435
1.38601,1.38858,1.3794,1.38749,2804163.129596162,6662
1.38749,1.40174,1.38203,1.39978,3658222.1124310712,7786
1.39921,1.40304,1.38457,1.38982,2604828.015196967,6126
1.38952,1.39401,1.37894,1.38346,1685167.6853733184,4067
1.38354,1.3855,1.37994,1.3835,1361016.1632173343,4232
1.3835,1.38465,1.37769,1.37851,570074.525745362,2814
1.37948,1.38649,1.37732,1.3815,1287892.2692479356,5107
1.38165,1.3975,1.3651,1.3705,1918195.5705980496,6267
1.37149,1.37196,1.27,1.36395,1469546.9821907857,4073
1.36395,1.37976,1.3632,1.37306,1498730.3019789,4070
1.37301,1.37876,1.36999,1.37606,1385168.1424449375,3590
1.37606,1.37924,1.3734,1.37656,543485.4654078317,1727
1.37656,1.39178,1.37183,1.37537,530882.9140023609,1817
1.37434,1.38625,1.372,1.3755,2054127.0115338024,3212
1.3755,1.37862,1.36744,1.3727,743269.7758431592,1623
1.37233,1.38177,1.36776,1.37789,1925063.37602593,5763
1.37817,1.38297,1.3741,1.38032,1236139.7520381452,3962
1.38029,1.38383,1.37545,1.38129,1477447.6118683517,4097
1.3818,1.38377,1.37317,1.3755,1255174.6000466568,3835
1.37528,1.38196,1.37287,1.379,494099.6778223102,1434
1.37831,1.39151,1.37473,1.3909,1933880.2713374973,4679
1.39156,1.46,1.3777,1.38264,3548041.905522109,7050
1.38264,1.38264,1.3665,1.36876,2394909.5552405,5313
1.36862,1.375,1.36815,1.3704,2001985.169854159,3752
1.37041,1.3729,1.36375,1.36686,1839483.6074909072,2572
1.36686,1.37852,1.3614,1.3657,2302063.898227059,5564
1.3657,1.3685,1.36201,1.365,1133562.3485323547,3886
1.36494,1.37498,1.3622,1.37274,2168027.361300394,3721
1.37274,1.37498,1.36765,1.36953,2729017.4059294523,5709
1.36946,1.3776,1.3692,1.37339,2943661.929468919,6640
1.3732,1.37803,1.37,1.37479,2558656.166167952,4705
1.37412,1.38,1.36804,1.37697,4621588.000223617,9685
1.37715,1.379,1.3702,1.3702,1567761.163365377,4658
1.3702,1.37499,1.3082,1.36903,11540138.321312834,22391
1.36802,1.39639,1.36441,1.39451,3666598.9604959786,8189
1.39462,1.398,1.38827,1.38951,2351349.343386654,5862
1.38951,1.39349,1.38733,1.39,1066787.7926409547,2996
1.39074,1.39334,1.37852,1.38227,2203061.8807583004,5250
1.38227,1.39051,1.37001,1.38095,3087712.0107351346,8264
1.38098,1.38373,1.37455,1.38222,526541.5072617801,2052
1.38222,1.387,1.37455,1.38289,965475.2262816404,3284
1.38289,1.38997,1.38255,1.38592,1268161.8298691611,3403
1.38601,1.39021,1.38301,1.38828,1180387.015615078,4525
1.38899,1.39331,1.36979,1.39299,1025381.2224748074,3850
1.39299,1.40631,1.39033,1.39397,1504970.9349615593,3628
1.3941,1.39468,1.37689,1.37868,1531325.553888238,3781
1.37761,1.38,1.37588,1.37672,1091399.8380348184,3774
1.37672,1.3794,1.37482,1.3777,1005583.4879018366,2936
1.3777,1.39177,1.3741,1.38773,2218371.742776321,4136
1.38791,1.38982,1.38,1.38511,2942450.7228411986,6194
1.38511,1.39164,1.3823,1.38898,2242446.6670364565,4735
1.38898,1.39341,1.37701,1.38581,2939638.0129844784,5849
1.38599,1.39797,1.3824,1.39214,2350662.825315973,4596
1.39212,1.39397,1.388,1.39,1478384.7304179484,4402
1.39062,1.40087,1.3875,1.39883,3363955.567144418,6163
1.39851,1.479,1.395,1.40835,5837000.587574042,8228
1.40851,1.419,1.406,1.41269,3254472.241668505,4961
1.4117,1.41453,1.39868,1.40094,2560738.0173286074,5066
1.40094,1.479,1.395,1.39971,6357962.727705873,9891
1.39971,1.41,1.39781,1.40831,2737718.9218993443,5071
1.40831,1.40902,1.40216,1.40217,2734051.5183742736,5567
1.4028,1.46,1.40166,1.4095,3522033.909691467,6161
1.40927,1.44994,1.40498,1.41483,4225863.267818099,7541
1.41484,1.56014,1.41401,1.41547,4307197.221843944,7016
1.41583,1.44777,1.38059,1.40467,18131421.64219235,30678
1.40527,1.435,1.39197,1.41139,5521269.737399947,11234
1.41206,1.42362,1.40861,1.41041,4515732.937043534,9141
1.41034,1.41952,1.40765,1.41003,2151078.419507238,5328
1.41004,1.42,1.40435,1.40896,4363319.647766873,10069
1.40949,1.41644,1.40779,1.4129,4823218.739322666,9833
1.41232,1.41773,1.41065,1.41286,2588175.175352292,5925
1.41278,1.41684,1.40991,1.41083,1566981.288510495,4735
1.41064,1.42199,1.40753,1.41951,1505775.0059383225,4246
1.41968,1.4217,1.414,1.41772,2041243.04806708,3931
1.4176,1.41907,1.4128,1.41341,979836.1372835692,2141
1.41341,1.417,1.41151,1.41623,592620.8569558293,1652
1.41622,1.42416,1.41401,1.42116,975743.5935326612,2242
1.42175,1.42837,1.41362,1.41417,1312775.929685432,2768
1.41446,1.41963,1.41142,1.41676,691998.3434909001,1804
1.4169,1.42094,1.40975,1.41101,1199850.195393147,2583
1.411,1.4195,1.40824,1.41351,1640358.411972576,3215
1.41374,1.41467,1.41,1.4128,563017.70174401,950
1.41276,1.417,1.40991,1.41267,971690.5350597014,1647
1.41306,1.41848,1.41,1.41641,1172056.8758800393,2790
1.41626,1.43,1.397,1.41315,1834952.229726391,2995
1.41347,1.43905,1.4102,1.41174,1685401.3180345153,2291
1.41168,1.41894,1.40865,1.41701,767194.4613624802,1709
1.41723,1.41884,1.40886,1.40992,987966.9059754302,1603
1.40991,1.41,1.40671,1.40849,375451.8717778205,1454
1.40849,1.412,1.40674,1.41133,652672.6207106397,1303
1.41132,1.41199,1.40713,1.41127,1059726.85418168,1876
1.41101,1.41165,1.4035,1.40654,785333.7893710494,1358
1.40655,1.41195,1.39808,1.39823,719209.1878922009,1307
1.39823,1.39982,1.38759,1.39175,1368074.9323292926,3142
1.39163,1.39183,1.37865,1.37892,922597.29139663,2387
1.37892,1.38276,1.37604,1.37604,714596.6247277773,2579
1.37604,1.37872,1.37298,1.37649,859645.0445126405,2384
